Dataset,Max Depth,Impurity,Train,Test,Time
lymph,4,entropy,0.9491525423728814,0.8,0.12435102462768555
lymph,5,gini,0.9915254237288136,0.8333333333333334,0.24444985389709473
lymph,5,entropy,0.9830508474576272,0.7666666666666667,0.43750500679016113
lymph,6,gini,1.0,0.8333333333333334,0.3964672088623047
lymph,6,entropy,1.0,0.7666666666666667,0.6273329257965088
lymph,7,gini,1.0,0.8,0.746229887008667
lymph,7,entropy,1.0,0.8666666666666667,0.8402926921844482
lymph,8,gini,1.0,0.8,0.632256031036377
lymph,8,entropy,1.0,0.7666666666666667,1.1466171741485596

molecular-biology-promoters,3,gini,0.9404761904761905,0.7727272727272727,0.18868780136108398
molecular-biology-promoters,3,entropy,0.9404761904761905,0.7727272727272727,0.20456671714782715
molecular-biology-promoters,4,gini,1.0,0.8636363636363636,0.2986319065093994
molecular-biology-promoters,4,entropy,1.0,0.9090909090909091,0.2883179187774658
molecular-biology-promoters,5,gini,1.0,0.8636363636363636,0.265211820602417
molecular-biology-promoters,5,entropy,1.0,0.9090909090909091,0.3438570499420166
molecular-biology-promoters,6,gini,1.0,0.8636363636363636,0.24163317680358887
molecular-biology-promoters,6,entropy,1.0,0.9090909090909091,0.2784292697906494
molecular-biology-promoters,7,gini,1.0,0.8636363636363636,0.24687576293945312
molecular-biology-promoters,7,entropy,1.0,0.9090909090909091,0.2613952159881592
molecular-biology-promoters,8,gini,1.0,0.8636363636363636,0.28986597061157227
molecular-biology-promoters,8,entropy,1.0,0.9090909090909091,0.3072221279144287

molecular-biology-splice,3,gini,0.877742946708464,0.8855799373040752,1.6725008487701416
molecular-biology-splice,3,entropy,0.877742946708464,0.8855799373040752,1.5242650508880615
molecular-biology-splice,4,gini,0.9200626959247649,0.9263322884012539,2.857595920562744
molecular-biology-splice,4,entropy,0.9177115987460815,0.9341692789968652,2.910761833190918
molecular-biology-splice,5,gini,0.9443573667711599,0.95141065830721,6.495959043502808
molecular-biology-splice,5,entropy,0.9435736677115988,0.95141065830721,6.112177848815918
molecular-biology-splice,6,gini,0.9580721003134797,0.9545454545454546,10.499058961868286
molecular-biology-splice,6,entropy,0.9572884012539185,0.9482758620689655,10.345859050750732
molecular-biology-splice,7,gini,0.9741379310344828,0.9467084639498433,22.357715845108032
molecular-biology-splice,7,entropy,0.9733542319749217,0.9420062695924765,21.390796899795532
molecular-biology-splice,8,gini,0.9882445141065831,0.9310344827586207,41.004565954208374
molecular-biology-splice,8,entropy,0.9878526645768025,0.9310344827586207,38.04818820953369

monks-1,3,gini,0.8468468468468469,0.8660714285714286,0.07514095306396484
monks-1,3,entropy,0.8468468468468469,0.8660714285714286,0.0600738525390625
monks-1,4,gini,0.9256756756756757,0.9285714285714286,0.06081366539001465
monks-1,4,entropy,0.9256756756756757,0.9285714285714286,0.0662379264831543
monks-1,5,gini,1.0,1.0,0.13092994689941406
monks-1,5,entropy,1.0,1.0,0.11452531814575195
monks-1,6,gini,1.0,1.0,0.20132207870483398
monks-1,6,entropy,1.0,1.0,0.23106622695922852
monks-1,7,gini,1.0,1.0,0.5812420845031738
monks-1,7,entropy,1.0,1.0,0.6508491039276123
monks-1,8,gini,1.0,1.0,1.3265159130096436
monks-1,8,entropy,1.0,1.0,1.0673372745513916

monks-2,3,gini,0.675,0.6363636363636364,0.047883033752441406
monks-2,3,entropy,0.675,0.6363636363636364,0.03657889366149902
monks-2,4,gini,0.6958333333333333,0.6198347107438017,0.07071423530578613
monks-2,4,entropy,0.6958333333333333,0.6198347107438017,0.08269715309143066
monks-2,5,gini,0.8104166666666667,0.7933884297520661,0.16663885116577148
monks-2,5,entropy,0.8104166666666667,0.7933884297520661,0.19988512992858887
monks-2,6,gini,1.0,1.0,0.42548298835754395
monks-2,6,entropy,1.0,1.0,0.46408891677856445
monks-2,7,gini,1.0,0.9834710743801653,0.7680931091308594
monks-2,7,entropy,1.0,0.9834710743801653,0.8374581336975098
monks-2,8,gini,1.0,0.9834710743801653,1.0432391166687012
monks-2,8,entropy,1.0,0.9834710743801653,1.3076469898223877

monks-3,3,gini,0.9909706546275395,0.9819819819819819,0.036032915115356445
monks-3,3,entropy,0.9909706546275395,0.9819819819819819,0.03305220603942871
monks-3,4,gini,0.9909706546275395,0.9819819819819819,0.12169599533081055
monks-3,4,entropy,0.9909706546275395,0.9819819819819819,0.05007004737854004
monks-3,5,gini,0.9909706546275395,0.9819819819819819,0.07557225227355957
monks-3,5,entropy,0.9909706546275395,0.9819819819819819,0.07548809051513672
monks-3,6,gini,0.9932279909706546,0.963963963963964,0.11579608917236328
monks-3,6,entropy,0.9932279909706546,0.963963963963964,0.12684226036071777
monks-3,7,gini,0.9932279909706546,0.963963963963964,0.1707932949066162
monks-3,7,entropy,0.9932279909706546,0.963963963963964,0.18483924865722656
monks-3,8,gini,0.9932279909706546,0.963963963963964,0.3016531467437744
monks-3,8,entropy,0.9932279909706546,0.963963963963964,0.32371997833251953

mushroom,3,gini,0.9853823665179259,0.9846153846153847,1.517409086227417
mushroom,3,entropy,0.9783043545160794,0.976,1.5089092254638672
mushroom,4,gini,0.9995383905216187,0.9993846153846154,3.348783016204834
mushroom,4,entropy,0.9992306508693645,0.9981538461538462,2.315418243408203
mushroom,5,gini,1.0,1.0,4.652558088302612
mushroom,5,entropy,1.0,1.0,2.8391940593719482
mushroom,6,gini,1.0,1.0,7.251429796218872
mushroom,6,entropy,1.0,1.0,3.7151763439178467
mushroom,7,gini,1.0,1.0,8.823103189468384
mushroom,7,entropy,1.0,1.0,3.51259708404541
mushroom,8,gini,1.0,1.0,12.390936136245728
mushroom,8,entropy,1.0,1.0,3.9939329624176025

primary-tumor,3,gini,0.4354243542435424,0.29411764705882354,0.09557795524597168
primary-tumor,3,entropy,0.45018450184501846,0.3235294117647059,0.0892190933227539
primary-tumor,4,gini,0.5129151291512916,0.29411764705882354,0.17563581466674805
primary-tumor,4,entropy,0.5092250922509225,0.4264705882352941,0.18473505973815918
primary-tumor,5,gini,0.5719557195571956,0.3088235294117647,0.4054441452026367
primary-tumor,5,entropy,0.5793357933579336,0.3382352941176471,1.0142810344696045
primary-tumor,6,gini,0.6494464944649446,0.3235294117647059,1.4748821258544922
primary-tumor,6,entropy,0.6568265682656826,0.38235294117647056,1.7056801319122314
primary-tumor,7,gini,0.7416974169741697,0.35294117647058826,2.485733985900879
primary-tumor,7,entropy,0.7453874538745388,0.3235294117647059,3.748537063598633
primary-tumor,8,gini,0.8044280442804428,0.3382352941176471,5.868136882781982
primary-tumor,8,entropy,0.8228782287822878,0.3235294117647059,9.342309713363647

soybean,3,gini,0.5622710622710623,0.48905109489051096,0.32444310188293457
soybean,3,entropy,0.5494505494505495,0.4744525547445255,0.33933496475219727
soybean,4,gini,0.6391941391941391,0.5474452554744526,0.6300599575042725
soybean,4,entropy,0.717948717948718,0.6423357664233577,0.791644811630249
soybean,5,gini,0.7326007326007326,0.6496350364963503,1.0965230464935303
soybean,5,entropy,0.8608058608058609,0.8321167883211679,1.6808748245239258
soybean,6,gini,0.8058608058608059,0.6934306569343066,1.9499609470367432
soybean,6,entropy,0.9230769230769231,0.9124087591240876,2.795698881149292
soybean,7,gini,0.8754578754578755,0.7883211678832117,3.5551397800445557
soybean,7,entropy,0.9487179487179487,0.9197080291970803,4.554628133773804
soybean,8,gini,0.9084249084249084,0.8467153284671532,7.039416074752808
soybean,8,entropy,0.9633699633699634,0.9124087591240876,8.093629360198975

spect,3,gini,0.8169014084507042,0.7592592592592593,0.07250189781188965
spect,3,entropy,0.8169014084507042,0.7592592592592593,0.05495595932006836
spect,4,gini,0.8497652582159625,0.7222222222222222,0.09089279174804688
spect,4,entropy,0.8497652582159625,0.7222222222222222,0.10502934455871582
spect,5,gini,0.8732394366197183,0.7037037037037037,0.15131402015686035
spect,5,entropy,0.8544600938967136,0.6851851851851852,0.1687331199645996
spect,6,gini,0.9061032863849765,0.7407407407407407,0.30423617362976074
spect,6,entropy,0.8826291079812206,0.7222222222222222,0.3321263790130615
spect,7,gini,0.9248826291079812,0.7222222222222222,0.7187097072601318
spect,7,entropy,0.9014084507042254,0.6666666666666666,0.7112529277801514
spect,8,gini,0.9483568075117371,0.6851851851851852,1.6165621280670166
spect,8,entropy,0.92018779342723,0.6296296296296297,1.4552721977233887

tic-tac-toe,3,gini,0.758485639686684,0.71875,0.06219601631164551
tic-tac-toe,3,entropy,0.758485639686684,0.71875,0.07556915283203125
tic-tac-toe,4,gini,0.8459530026109661,0.828125,0.12436699867248535
tic-tac-toe,4,entropy,0.8459530026109661,0.828125,0.13022494316101074
tic-tac-toe,5,gini,0.9295039164490861,0.90625,0.22156071662902832
tic-tac-toe,5,entropy,0.9295039164490861,0.90625,0.2615509033203125
tic-tac-toe,6,gini,0.9673629242819843,0.8854166666666666,0.4911201000213623
tic-tac-toe,6,entropy,0.9660574412532638,0.8854166666666666,0.5659389495849609
tic-tac-toe,7,gini,0.9934725848563969,0.9322916666666666,1.104017972946167
tic-tac-toe,7,entropy,0.9921671018276762,0.9427083333333334,1.2548449039459229
tic-tac-toe,8,gini,1.0,0.9375,2.181614875793457
tic-tac-toe,8,entropy,1.0,0.9375,2.5139777660369873

vote,3,gini,0.9798850574712644,0.9195402298850575,0.06323981285095215
vote,3,entropy,0.9798850574712644,0.9080459770114943,0.058866024017333984
vote,4,gini,0.9885057471264368,0.9080459770114943,0.10482478141784668
vote,4,entropy,0.9885057471264368,0.8850574712643678,0.08965778350830078
vote,5,gini,0.9971264367816092,0.8850574712643678,0.2151498794555664
vote,5,entropy,0.9971264367816092,0.9195402298850575,0.16960501670837402
vote,6,gini,1.0,0.896551724137931,0.35259175300598145
vote,6,entropy,1.0,0.896551724137931,0.31130194664001465
vote,7,gini,1.0,0.8850574712643678,0.4388086795806885
vote,7,entropy,1.0,0.9310344827586207,0.4616410732269287
vote,8,gini,1.0,0.8850574712643678,0.4806067943572998
vote,8,entropy,1.0,0.9310344827586207,0.6082041263580322

connect-4,3,gini,0.6848737163474882,0.6785820011841326,29.23849606513977
connect-4,3,entropy,0.6818577111666204,0.6765837773830669,29.09558916091919
connect-4,4,gini,0.7028032195392728,0.6964179988158674,59.629781007766724
connect-4,4,entropy,0.6978443889351467,0.6904973357015985,56.00706601142883
connect-4,5,gini,0.7156628735313165,0.7077412670219064,98.62138509750366
connect-4,5,entropy,0.7122212970672588,0.7070011841326228,106.31930375099182
connect-4,6,gini,0.727615875659173,0.7221728833629366,167.5286910533905
connect-4,6,entropy,0.7214358405032844,0.7115156897572528,187.91550707817078
connect-4,7,gini,0.7398279211767971,0.7340142095914742,263.1764118671417
connect-4,7,entropy,0.7352761587565917,0.7243931320307875,318.9695529937744
connect-4,8,gini,0.7544823757979462,0.7405269390171699,422.5236089229584
connect-4,8,entropy,0.7486909057267093,0.7332001184132623,537.259801864624

nursery,3,gini,0.8243634259259259,0.8283179012345679,1.621675968170166
nursery,3,entropy,0.8243634259259259,0.8283179012345679,0.6330480575561523
nursery,4,gini,0.8645833333333334,0.8587962962962963,1.2417020797729492
nursery,4,entropy,0.8645833333333334,0.8587962962962963,1.2896490097045898
nursery,5,gini,0.8857060185185185,0.876929012345679,2.1671009063720703
nursery,5,entropy,0.8857060185185185,0.876929012345679,2.087838888168335
nursery,6,gini,0.9148341049382716,0.9054783950617284,3.479651927947998
nursery,6,entropy,0.9155092592592593,0.9066358024691358,3.5684218406677246
nursery,7,gini,0.9345100308641975,0.9297839506172839,6.086054801940918
nursery,7,entropy,0.935570987654321,0.9290123456790124,5.731775999069214
nursery,8,gini,0.9574652777777778,0.9513888888888888,9.680166959762573
nursery,8,entropy,0.9573688271604939,0.9510030864197531,9.19922137260437

letter-recognition,3,gini,0.1713232077004813,0.16225,43.97753024101257
letter-recognition,3,entropy,0.18401150071879493,0.1805,40.61732888221741
letter-recognition,4,gini,0.25226576661041317,0.25775,71.86432790756226
letter-recognition,4,entropy,0.26689168073004566,0.2655,76.83288598060608
letter-recognition,5,gini,0.3320832552034502,0.326,134.69207882881165
letter-recognition,5,entropy,0.3746484155259704,0.366,138.19123721122742
letter-recognition,6,gini,0.4030876929808113,0.3915,217.72218704223633
letter-recognition,6,entropy,0.45627851740733794,0.43575,222.8587028980255
letter-recognition,7,gini,0.47184199012438277,0.45825,355.70051527023315
letter-recognition,7,entropy,0.538471154447153,0.5135,292.4952766895294
letter-recognition,8,gini,0.5328458028626789,0.5045,506.78390407562256
letter-recognition,8,entropy,0.6012875804737796,0.56375,528.0301461219788
